PK_ID,STAMP,SCHEME_ID,SCHEME_NAME,MODULE_ID,SQL_TYPE_ID,SQL_TEXT,EXECUTE_TYPE_ID,NOTICE_TYPE_ID,NOTICE_TO,EXECUTE_CYCLE_ID,START_TIME,IS_EFFECTIVE,STATUS,REMARK,CREATE_DATE,CREATE_BY,CREATE_BY_NAME,UPDATE_DATE,UPDATE_BY,UPDATE_BY_NAME
31,2015-03-25 12:42:39,SHM20150325124239,tetete,老师,procedure,IMS_DATAMONITOR_PKG.test,2,mail,525799145@qq.com,3,2015-03-25 12:42:39,1,生效,IMS_DATAMONITOR_PKG.test,2015-03-25 12:42:39,0,system,,,
19,2015-03-20 14:44:31,SHM20150320144431,test,学生,sql,select * from mnt_scheme,2,mail,525799145@qq.com,3,2015-03-20 14:44:31,1,生效,select * from mnt_scheme,2015-03-20 14:44:31,0,system,,,
32,2015-03-27 14:19:12,SHM20150327141912,testtsdtsd,老师,sql,select * from mnt_scheme,1,mail,525799145@qq.com,3,2015-03-27 14:19:12,1,生效,select * from mnt_scheme,2015-03-27 14:19:12,0,system,,,
41,2015-04-03 12:58:54,SHM20150403125854,qqinfo,学生,procedure,IMS_DATAMONITOR_PKG.qqInfo,2,mail,525799145@qq.com,1,2015-04-03 12:58:54,1,生效,IMS_DATAMONITOR_PKG.qqInfo,2015-04-03 12:58:54,0,system,,,
51,2015-04-05 15:35:32,SHM20150405153532,236523jdsfhkjdfhnvkjf,老师,sql,select * from qqInfo where q_name = '周新华',2,mail,525799145@qq.com,1,2015-04-05 0:00:00,1,生效,select * from qqInfo where q_name = '周新华' ,2015-04-05 15:35:32,0,system,,,
61,2015-04-07 13:26:27,SHM20150407132627,123234dfvfdsvsedfv,学生,sql,select * from qqInfo where q_name = '周新华' ,2,mail,525799145@qq.com,1,2015-04-07 0:00:00,1,生效,select * from qqInfo where q_name = $周新华$,2015-04-07 13:26:27,0,system,,,
52,2015-04-05 16:11:08,SHM20150405161108,236523jdsfhkjdfhnvkjf,老师,sql,select * from qqInfo where q_name = '周新华',2,mail,525799145@qq.com,1,2015-04-05 0:00:00,1,生效,select * from qqInfo where q_name = '周新华' ,2015-04-05 16:11:08,0,system,,,
20,2015-03-20 20:21:31,SHM20150320202131,test,老师,sql,select * from mnt_scheme where PK_ID = 18,2,mail,525799145@qq.com,3,2015-03-20 20:21:31,1,生效,select * from mnt_scheme where PK_ID = 18,2015-03-20 20:21:31,0,system,,,
21,2015-03-20 20:22:26,SHM20150320202226,test,老师,sql,select * from mnt_scheme where PK_ID = 20,2,mail,525799145@qq.com,3,2015-03-20 20:22:26,1,生效,select * from mnt_scheme where PK_ID = 20,2015-03-20 20:22:26,0,system,,,
71,2015-04-10 17:10:57,SHM20150410171057,gwfgdusgcjh,学生,sql,select * from mnt_scheme,2,mail,525799145@qq.com,1,2015-04-10 0:00:00,1,生效,select * from mnt_scheme,2015-04-10 17:10:57,0,system,,,
